img_path,y
data_train/stixels/2.png,242
data_train/stixels/3.png,237
data_train/stixels/4.png,236
data_train/stixels/5.png,229
data_train/stixels/6.png,229
data_train/stixels/7.png,233
data_train/stixels/8.png,232
data_train/stixels/9.png,231
data_train/stixels/10.png,225
data_train/stixels/11.png,224
data_train/stixels/12.png,236
data_train/stixels/13.png,232
data_train/stixels/14.png,234
data_train/stixels/15.png,223
data_train/stixels/16.png,227
data_train/stixels/17.png,217
data_train/stixels/18.png,213
data_train/stixels/52.png,253
data_train/stixels/53.png,251
data_train/stixels/54.png,251
data_train/stixels/55.png,244
data_train/stixels/56.png,240
data_train/stixels/57.png,266
data_train/stixels/58.png,260
data_train/stixels/59.png,255
data_train/stixels/60.png,261
data_train/stixels/61.png,244
data_train/stixels/62.png,243
data_train/stixels/63.png,242
data_train/stixels/64.png,215
data_train/stixels/65.png,231
data_train/stixels/66.png,230
data_train/stixels/67.png,226
data_train/stixels/68.png,210
data_train/stixels/69.png,212
data_train/stixels/70.png,208
data_train/stixels/71.png,204
data_train/stixels/103.png,282
data_train/stixels/104.png,279
data_train/stixels/105.png,289
data_train/stixels/106.png,288
data_train/stixels/107.png,270
data_train/stixels/108.png,233
data_train/stixels/110.png,253
data_train/stixels/111.png,252
data_train/stixels/112.png,251
data_train/stixels/113.png,249
data_train/stixels/114.png,238
data_train/stixels/115.png,239
data_train/stixels/116.png,206
data_train/stixels/117.png,221
data_train/stixels/118.png,217
data_train/stixels/119.png,213
data_train/stixels/120.png,208
data_train/stixels/121.png,207
data_train/stixels/122.png,209
data_train/stixels/124.png,197
data_train/stixels/125.png,193
data_train/stixels/143.png,204
data_train/stixels/145.png,208
data_train/stixels/154.png,302
data_train/stixels/155.png,302
data_train/stixels/156.png,286
data_train/stixels/157.png,280
data_train/stixels/158.png,277
data_train/stixels/159.png,272
data_train/stixels/160.png,264
data_train/stixels/163.png,216
data_train/stixels/164.png,238
data_train/stixels/165.png,237
data_train/stixels/166.png,236
data_train/stixels/167.png,230
data_train/stixels/168.png,222
data_train/stixels/169.png,221
data_train/stixels/170.png,217
data_train/stixels/171.png,213
data_train/stixels/172.png,208
data_train/stixels/173.png,208
data_train/stixels/205.png,247
data_train/stixels/206.png,246
data_train/stixels/207.png,265
data_train/stixels/208.png,268
data_train/stixels/209.png,268
data_train/stixels/210.png,266
data_train/stixels/211.png,268
data_train/stixels/212.png,254
data_train/stixels/213.png,252
data_train/stixels/214.png,250
data_train/stixels/215.png,236
data_train/stixels/216.png,236
data_train/stixels/217.png,235
data_train/stixels/218.png,227
data_train/stixels/219.png,226
data_train/stixels/220.png,221
data_train/stixels/221.png,218
data_train/stixels/222.png,212
data_train/stixels/256.png,293
data_train/stixels/257.png,277
data_train/stixels/258.png,270
data_train/stixels/260.png,262
data_train/stixels/261.png,261
data_train/stixels/262.png,260
data_train/stixels/263.png,258
data_train/stixels/264.png,252
data_train/stixels/265.png,247
data_train/stixels/266.png,241
data_train/stixels/267.png,237
data_train/stixels/268.png,232
data_train/stixels/269.png,230
data_train/stixels/270.png,226
data_train/stixels/271.png,221
data_train/stixels/272.png,196
data_train/stixels/307.png,289
data_train/stixels/308.png,287
data_train/stixels/309.png,289
data_train/stixels/310.png,274
data_train/stixels/311.png,273
data_train/stixels/312.png,271
data_train/stixels/313.png,266
data_train/stixels/314.png,259
data_train/stixels/315.png,253
data_train/stixels/316.png,255
data_train/stixels/317.png,246
data_train/stixels/318.png,241
data_train/stixels/319.png,236
data_train/stixels/320.png,206
data_train/stixels/321.png,221
data_train/stixels/322.png,220
data_train/stixels/323.png,216
data_train/stixels/324.png,211
data_train/stixels/325.png,207
data_train/stixels/326.png,192
data_train/stixels/333.png,189
data_train/stixels/334.png,189
data_train/stixels/359.png,288
data_train/stixels/360.png,286
data_train/stixels/361.png,284
data_train/stixels/362.png,284
data_train/stixels/363.png,272
data_train/stixels/364.png,266
data_train/stixels/365.png,259
